oepid,accreditor,pred_degree,highest_degree,control,region,admission_rate,ccbasic,in_state_tuit,out_state_tuit,prog_year_tuit,revenue_tuit,avg_faculty_salary,two_yr_default,three_yr_default,sat_avg,prop_loan,name,address,ZIP,fips,city,state,cbsa,csa,longitude,latitude,extracted_year
405744,,Certificate,Associate,Private For-Profit,Southwest,,,,,,5010.0,4333.0,,0.2,,0.9539,National American University-Career Point College Teachout Site,"San Antonio, TX - 4522 Fredericksburg Road, Suite A-I00",78201-6549,48.0,San Antonio,TX,41700.0,484.0,-98.551158,29.493372,2019-01-01
1054215,,Certificate,Certificate,Private For-Profit,Southeast,,,,,16320.0,10480.0,,,0.133,,0.5726,Empire Beauty School-Tampa,"Tampa, FL - Brandon Crossings, 10083 East Adamo Drive",33619-2619,12.0,Tampa,FL,45300.0,-2.0,-82.338274,27.941959,2019-01-01
1260613,,Certificate,Certificate,Private For-Profit,Southeast,,,,,16320.0,10258.0,,,0.14,,0.5396,Empire Beauty School-Lakeland,"Lakeland, FL - Northtowne Square, 5101 US Highway 98 N",33809-0514,12.0,Lakeland,FL,29460.0,422.0,-81.973025,28.108318,2019-01-01
3786301,,Certificate,Certificate,Private For-Profit,Far West,,,,,1438.0,93082.0,,,0.0,,0.2286,Advanced College-Stockton,"Stockton, CA - 8838 North West Lane",95120-3145,6.0,Stockton,CA,44700.0,488.0,-121.29453,38.025552,2019-01-01
3083704,,Associate,NA,Private For-Profit,Southeast,,,,,39690.0,3535.0,5231.0,,0.08,,0.9583,Galen College of Nursing-ARH,"Hazard, KY - 100 Airport Gardens Drive",41701-9519,21.0,Hazard,KY,-2.0,-2.0,-83.205298,37.285896,2019-01-01
2155309,,Graduate,NA,Private Non-Profit,Far West,,,,,,35186.0,7626.0,,0.043,,,The Chicago School of Professional Psychology at San Diego,"San Diego, CA - 401 W. A Street at 1 Columbia Place",92101-7903,6.0,San Diego,CA,41740.0,-2.0,-117.167054,32.718575,2019-01-01
4118600,,Certificate,Certificate,Private For-Profit,Great Lakes,,,,,16734.0,15098.0,,,0.105,,0.5455,Academy of Cosmetology,"Janesville, WI - 2310 W Court St",53548-3307,55.0,Janesville,WI,27500.0,357.0,-89.048961,42.679705,2019-01-01
4118600,,Certificate,Certificate,Private For-Profit,Great Lakes,,,,,16734.0,15098.0,,,0.105,,0.5455,Tricoci University of Beauty Culture-Janesville,"Janesville, WI - 2310 W. Court Street",53548,55.0,Janesville,WI,27500.0,357.0,-89.04895,42.679712,2019-01-01
4267100,,Certificate,Certificate,Private For-Profit,Southeast,,,,,13600.0,4084.0,,,,,0.3871,Unlimited Cosmetology School,"Hattiesburg, MS - 102 Broad Street",39401,28.0,Hattiesburg,MS,25620.0,279.0,-89.304277,31.325283,2019-01-01
4266300,,Certificate,Certificate,Private For-Profit,Far West,,,,,15000.0,6085.0,,,,,0.5761,Johnny Matthew's Hairdressing Training School,"Salem, OR - 255 Liberty St NE",97301,41.0,Salem,OR,41420.0,440.0,-123.038361,44.941812,2019-01-01
4276400,,Certificate,Certificate,Private For-Profit,Southwest,,,,,17467.0,19534.0,,,,,0.0,The Culinary School of Fort Worth,"Fort Worth, TX - 6550 Camp Bowie Blvd #110",76116,48.0,Fort Worth,TX,19100.0,206.0,-97.428672,32.724044,2019-01-01
4274700,,Certificate,Certificate,Private For-Profit,Far West,,,,,14450.0,6359.0,,,,,0.1515,Centralia Beauty College,"Centralia, WA - 217 S Tower Avenue",98531,53.0,Centralia,WA,16500.0,500.0,-122.955164,46.714769,2019-01-01
389600,,Bachelor,Bachelor,Public,Great Lakes,,,,,,3322.0,9249.0,,0.083,,0.5069,University of Wisconsin-Milwaukee,"Milwaukee, WI - 2200 E Kenwood Blvd",53211,55.0,Milwaukee,WI,33340.0,376.0,-87.880488,43.076848,2019-01-01
389600,,Bachelor,Bachelor,Public,Great Lakes,,,,,,3322.0,9249.0,,0.083,,0.5069,University of Wisconsin-Milwaukee Flex,"Milwaukee, WI - 2200 E Kenwood Blvd",53201,55.0,Milwaukee,WI,33340.0,376.0,-87.880488,43.076848,2019-01-01
501500,,Certificate,Certificate,Public,Great Lakes,,,,,,45959.0,,,0.106,,0.0,University of Wisconsin-Parkside,"Kenosha, WI - 900 Wood Rd",53144,55.0,Kenosha,WI,16980.0,176.0,-87.855231,42.647718,2019-01-01
501500,,Certificate,Certificate,Public,Great Lakes,,,,,,45959.0,,,0.106,,0.0,University of Wisconsin-Parkside Flex,"Kenosha, WI - 900 Wood Rd",53141,55.0,Kenosha,WI,16980.0,176.0,-87.855007,42.645603,2019-01-01
389700,,Associate,Associate,Public,Great Lakes,0.4444,,,,,2533.0,,,0.112,,0.8929,,"nan, nan - nan",,,,,,,,,2019-01-01
2306812,,Certificate,Certificate,Private For-Profit,Southwest,,,,,15000.0,2677.0,,,0.255,,0.6667,Platt College-Edge Tech Academy,"Arlington, TX - 2241 S Watson Rd #181",76010,48.0,Arlington,TX,19100.0,206.0,-97.060733,32.708476,2019-01-01
2582000,,Certificate,Associate,Private Non-Profit,Mid East,0.8991,,7350.0,7350.0,,4204.0,,,,,0.0,Bnos Zion Of Bobov Seminary,"Brooklyn, NY - 5000 14th Avenue",11219-3621,36.0,Brooklyn,NY,35620.0,408.0,-73.991157,40.633353,2019-01-01
4226600,,Certificate,Certificate,Private For-Profit,Southeast,,,,,,77155.0,,,,,0.074,Carolina Career College,"Durham, NC - 5400 South Miami Boulevard",27703-3637,37.0,Durham,NC,20500.0,450.0,-78.851904,35.880955,2019-01-01
4227000,,Certificate,Certificate,Public,Far West,,,,,700.0,4762.0,,,,,0.0,ABC Adult School,"Cerritos, CA - 12254 Cuesta Drive",90703-2801,6.0,Cerritos,CA,31080.0,348.0,-118.070114,33.878179,2019-01-01
4235300,,Certificate,Certificate,Public,Mid East,,,,,299.0,10607.0,,,,,0.0942,Polytech Adult Education,"Woodside, DE - 823 Walnut Shade Road",19980-0000,10.0,Woodside,DE,20100.0,428.0,-75.545942,39.07213,2019-01-01
4236700,,Certificate,Certificate,Private For-Profit,Far West,,,,,10375.0,14972.0,,,,,0.0225,Blush School of Makeup,"San Francisco, CA - One Embarcadero Center, Ste R-1206",94111-3628,6.0,San Francisco,CA,41860.0,488.0,-122.399413,37.794885,2019-01-01
4238300,,Bachelor,Graduate,Private Non-Profit,Far West,0.4286,,5250.0,5250.0,,19328.0,1813.0,,,,0.0,Oikos University,"Oakland, CA - 7850 Edgewater Drive",94621-2041,6.0,Oakland,CA,41860.0,488.0,-122.199689,37.742256,2019-01-01
4246200,,Certificate,Certificate,Private For-Profit,Far West,,,,,11370.0,11490.0,,,,,0.8125,California Institute of Medical Science,"Clovis, CA - 1175 Shaw Avenue # 103",93612-0000,6.0,Clovis,CA,23420.0,260.0,-119.694271,36.810031,2019-01-01
4250000,,Bachelor,Bachelor,Private Non-Profit,Great Lakes,0.9286,,5900.0,5900.0,,2086.0,453.0,,,,0.0,Union Bible College,"Westfield, IN - 434 S. Union Street",46074-0900,18.0,Westfield,IN,26900.0,294.0,-86.126025,40.038757,2019-01-01
4254300,,Certificate,Certificate,Private For-Profit,Southeast,,,,,4900.0,4283.0,,,,,0.25,Pets Playground Grooming School,"Pompano Beach, FL - 1294 N. Federal Highway",33062-3705,12.0,Pompano Beach,FL,33100.0,370.0,-80.100676,26.248045,2019-01-01
4256400,,Certificate,Certificate,Private For-Profit,Far West,,,,,1495.0,3746.0,,,,,0.2072,San Bernardino Beauty College,"San Bernardino, CA - 600 North Sierra Way",92410-4414,6.0,San Bernardino,CA,40140.0,348.0,-117.285521,34.110518,2019-01-01
4258200,,Certificate,Certificate,Private For-Profit,Great Lakes,,,,,10442.0,1018.0,,,,,0.0,Christina and Company Education Center,"Lafayette, IN - 220 Meijer Drive",47905-4633,18.0,Lafayette,IN,29200.0,320.0,-86.815349,40.414052,2019-01-01
4260000,,Certificate,Certificate,Private For-Profit,Southeast,,,28100.0,28100.0,,101952.0,,,,,0.0,Institute of Medical Ultrasound,"Atlanta, GA - 225 Peachtree Street NE, Suite 1925",30303-3030,13.0,Atlanta,GA,12060.0,122.0,-84.387059,33.760209,2019-01-01
4260900,,Certificate,Certificate,Private Non-Profit,Southwest,,,,,12500.0,5132.0,,,,,0.0,Mystros Barber Academy,"Houston, TX - 1434 Ste. B Cypress Creek Parkway",77090-3300,48.0,Houston,TX,26420.0,288.0,-95.453049,30.014,2019-01-01
4261300,,Certificate,Certificate,Private For-Profit,Mid East,,,,,12665.0,12768.0,,,,,0.5,European Medical School of Massage,"Sinking Spring, PA - 2913 Windmill Road Suite 12",19608-1680,42.0,Sinking Spring,PA,39740.0,428.0,-76.008411,40.319453,2019-01-01
4264400,,Bachelor,Bachelor,Private Non-Profit,Mid East,1.0,,9850.0,9850.0,,8234.0,3706.0,,,,0.0,Yeshiva Gedolah Tiferes Boruch,"North Plainfield, NJ - 21 Rockview Avenue",07060-0000,34.0,North Plainfield,NJ,35620.0,408.0,-74.4346,40.619593,2019-01-01
4264900,,Associate,Associate,Private Non-Profit,Mid East,0.8667,,12150.0,12150.0,,12124.0,2182.0,,,,0.0,Yeshiva Chemdas Hatorah,"Lakewood, NJ - 950 Massachusetts Avenue",08701-4618,34.0,Lakewood,NJ,35620.0,408.0,-74.229304,40.063509,2019-01-01
4265200,,Bachelor,Bachelor,Private Non-Profit,Mid East,0.75,,9850.0,9850.0,,8520.0,,,,,0.0,Women's Institute of Torah Seminary,"Baltimore, MD - 6602 Park Heights Avenue",21215-3009,24.0,Baltimore,MD,12580.0,548.0,-76.699496,39.361349,2019-01-01
4265300,,Associate,Associate,Private Non-Profit,Mid East,0.8846,,8650.0,8650.0,,6491.0,2916.0,,,,0.0,Yeshiva Gedolah Keren Hatorah,"Lakewood, NJ - 1083 Brook Road",08701-1239,34.0,Lakewood,NJ,35620.0,408.0,-74.184418,40.109281,2019-01-01
4265500,,Certificate,Certificate,Private Non-Profit,Far West,,,,,21000.0,22491.0,,,,,0.0917,ICOHS College,"San Diego, CA - 1770 4th Avenue",92101-2607,6.0,San Diego,CA,41740.0,-2.0,-117.16145,32.723881,2019-01-01
4267000,,Certificate,Certificate,Private For-Profit,Outlying Areas,,,,,5988.0,2862.0,,,,,0.0,Neo-Esthetique European Institute,"San Juan, PR - Avenida Winston Churchill #305",00926-0000,72.0,San Juan,PR,41980.0,490.0,-66.057521,18.363811,2019-01-01
4267300,,Certificate,Certificate,Private For-Profit,Mid East,,,,,17125.0,5645.0,,,,,0.4091,Lehigh Valley Barber School,"Bethlehem, PA - 1517B Irene Street",18018-3906,42.0,Bethlehem,PA,10900.0,-2.0,-75.346918,40.639992,2019-01-01
4267500,,Certificate,Certificate,Private For-Profit,Southwest,,,,,16125.0,1852.0,,,,,0.1667,International Barber College,"Chandler, AZ - 7200 West Chandler Boulevard",85226-3205,4.0,Chandler,AZ,38060.0,429.0,-111.966375,33.306101,2019-01-01
4267900,,Certificate,Certificate,Private For-Profit,Southeast,,,,,11100.0,4734.0,,,,,0.5714,Brown Beauty Barber School,"Bessemer, AL - 1724 1st Avenue North",35020-5016,1.0,Bessemer,AL,13820.0,142.0,-86.953134,33.399873,2019-01-01
4268300,,Certificate,Certificate,Private For-Profit,Rocky Mountains,,,,,,3865.0,,,,,0.4355,Rexburg College of Massage Therapy,"Rexburg, ID - 669 Pioneer Road",83440-3873,16.0,Rexburg,ID,39940.0,292.0,-111.80319,43.812616,2019-01-01
4269300,,Bachelor,Bachelor,Private Non-Profit,Mid East,0.5854,,7850.0,7850.0,,5789.0,2867.0,,,,0.0,Yeshiva Gedolah of Cliffwood,"Keyport, NJ - 200 Center Street",07735-5105,34.0,Keyport,NJ,35620.0,408.0,-74.224235,40.442213,2019-01-01
4269500,,Certificate,Certificate,Private For-Profit,Southeast,,,,,14500.0,2108.0,,,,,0.766,Goshen School of Cosmetology,"Cleveland, MS - 710 North Davis Avenue",38732-0000,28.0,Cleveland,MS,17380.0,185.0,-90.713781,33.755417,2019-01-01
4269600,,Certificate,Certificate,Private For-Profit,Far West,,,,,16639.0,6633.0,,,,,0.0536,IBS School of Cosmetology and Massage,"Kahului, HI - 110 East Kaahumanu Avenue",96732-2118,15.0,Kahului,HI,27980.0,-2.0,-156.462848,20.892857,2019-01-01
4269700,,Certificate,Certificate,Private For-Profit,Southeast,,,,,10748.0,4074.0,,,,,0.2125,UR Beauty & Barber Academy,"Sebring, FL - 6011 US HWY 27 North",33870-2128,12.0,Sebring,FL,42700.0,-2.0,-81.503571,27.535842,2019-01-01
4270000,,Certificate,Certificate,Private For-Profit,Far West,,,,,17950.0,6662.0,,,,,0.6016,Urban Barber College,"Concord, CA - 1827 Willow Pass Road",94520-2522,6.0,Concord,CA,41860.0,488.0,-122.03909,37.975087,2019-01-01
4270300,,Associate,Associate,Private Non-Profit,Mid East,,,10950.0,10950.0,,14181.0,5392.0,,,,0.0,Yeshivas Emek Hatorah,"Howell, NJ - 395 Kent Road",07731-2444,34.0,Howell,NJ,35620.0,408.0,-74.232083,40.112501,2019-01-01
4270400,,Certificate,Certificate,Private For-Profit,Mid East,,,,,22500.0,7221.0,,,,,0.0,Transitions Career Institute School of Nursing,"Flushing, NY - 30-50 Whitestone Expressway",11354-1964,36.0,Flushing,NY,35620.0,408.0,-73.836391,40.770561,2019-01-01
4270800,,Certificate,Certificate,Public,Southeast,,,,,2395.0,1839.0,,,,,0.0,Suncoast Technical Education Center,"Brooksville, FL - 4057 California Street",34604-0683,12.0,Brooksville,FL,45300.0,-2.0,-82.463419,28.488302,2019-01-01
4271000,,Certificate,Certificate,Private For-Profit,Rocky Mountains,,,,,18500.0,11321.0,,,,,0.0189,Stacey James Institute,"Parker, CO - 16534 Keystone Boulevard, Unit C",80134-3358,8.0,Parker,CO,19740.0,216.0,-104.794689,39.533193,2019-01-01
